,0,1,2,3,4,5
129,90.0,33.0,1.995,1.812,1.995,0.4
130,90.0,32.0,1.995,1.812,1.995,0.4
131,90.0,31.0,1.995,1.812,1.995,0.4
132,90.0,29.0,1.995,1.812,1.995,0.4
133,90.0,30.0,1.995,1.812,1.995,0.4
134,90.0,30.0,1.995,1.812,1.995,0.4
135,90.0,31.0,1.995,1.812,1.995,0.4
136,90.0,32.0,1.995,1.812,1.995,0.4
137,90.0,33.0,1.995,1.812,1.995,0.4
138,90.0,34.0,1.995,1.812,1.995,0.4
139,90.0,36.0,1.995,1.812,1.995,0.4
140,90.0,37.0,1.995,1.812,1.995,0.4
141,90.0,39.0,1.995,1.812,1.995,0.4
142,90.0,42.0,1.995,1.812,1.995,0.4
143,90.0,43.0,1.995,1.812,1.995,0.4
144,90.0,46.0,1.995,1.812,1.995,0.4
145,90.0,48.0,1.995,1.812,1.995,0.4
146,90.0,48.0,1.995,1.812,1.995,0.4
147,90.0,52.0,1.995,1.812,1.995,0.4
148,90.0,55.0,1.995,1.812,1.995,0.4
149,90.0,57.0,1.995,1.812,1.995,0.4
150,90.0,59.0,1.995,1.812,1.995,0.4
151,90.0,61.0,1.995,1.812,1.995,0.4
152,90.0,63.0,1.995,1.812,1.995,0.4
153,90.0,65.0,1.995,1.812,1.995,0.4
154,90.0,66.0,1.995,1.812,1.995,0.4
155,90.0,69.0,1.995,1.812,1.995,0.4
156,90.0,72.0,1.995,1.812,1.995,0.4
157,90.0,74.0,1.995,1.812,1.995,0.4
158,90.0,75.0,1.995,1.812,1.995,0.4
159,90.0,76.0,1.995,1.812,1.995,0.4
160,90.0,77.0,1.995,1.812,1.995,0.4
161,90.0,79.0,1.995,1.812,1.995,0.4
162,90.0,80.0,1.995,1.812,1.995,0.4
163,90.0,81.0,1.995,1.812,1.995,0.4
164,90.0,81.0,1.995,1.812,1.995,0.4
165,90.0,82.0,1.995,1.812,1.995,0.4
166,90.0,83.0,1.995,1.812,1.995,0.4
167,90.0,83.0,1.995,1.812,1.995,0.4
168,90.0,84.0,1.995,1.812,1.995,0.4
