,0,1,2,3,4,5,6
304,31.0,31.319,-0.319,0.131,1.0,1.0,37.261
305,31.0,31.319,-0.319,0.131,1.0,1.0,37.281
306,31.0,31.319,-0.319,0.13,1.0,1.0,37.301
307,31.0,31.516,-0.516,0.127,1.0,1.0,37.321
308,31.0,31.582,-0.582,0.124,1.0,1.0,37.341
309,31.0,31.516,-0.516,0.124,1.0,1.0,37.361
310,31.0,31.451,-0.451,0.125,1.0,1.0,37.381
311,31.0,31.319,-0.319,0.127,1.0,1.0,37.401
312,31.0,31.451,-0.451,0.125,1.0,1.0,37.421
313,31.0,31.319,-0.319,0.127,1.0,1.0,37.441
314,31.0,31.516,-0.516,0.123,1.0,1.0,37.461
315,31.0,31.582,-0.582,0.121,1.0,1.0,37.481
316,31.0,31.451,-0.451,0.122,1.0,1.0,37.501
317,31.0,31.582,-0.582,0.12,1.0,1.0,37.521
318,31.0,31.451,-0.451,0.121,1.0,1.0,37.541
319,31.0,31.582,-0.582,0.119,1.0,1.0,37.561
320,31.0,31.516,-0.516,0.119,1.0,1.0,37.581
321,31.0,31.516,-0.516,0.118,1.0,1.0,37.601
322,31.0,31.516,-0.516,0.118,1.0,1.0,37.621
323,31.0,31.516,-0.516,0.117,1.0,1.0,37.641
324,31.0,31.582,-0.582,0.116,1.0,1.0,37.661
325,31.0,31.451,-0.451,0.117,1.0,1.0,37.681
326,31.0,31.451,-0.451,0.117,1.0,1.0,37.701
327,31.0,31.582,-0.582,0.114,1.0,1.0,37.721
328,31.0,31.582,-0.582,0.113,1.0,1.0,37.741
329,31.0,31.582,-0.582,0.112,1.0,1.0,37.761
330,31.0,31.648,-0.648,0.111,1.0,1.0,37.781
331,31.0,31.319,-0.319,0.116,1.0,1.0,37.801
332,31.0,31.582,-0.582,0.112,1.0,1.0,37.821
333,31.0,31.516,-0.516,0.111,1.0,1.0,37.841
334,31.0,31.648,-0.648,0.109,1.0,1.0,37.861
335,31.0,31.648,-0.648,0.107,1.0,1.0,37.881
336,31.0,31.648,-0.648,0.107,1.0,1.0,37.901
337,31.0,31.648,-0.648,0.106,1.0,1.0,37.921
338,31.0,31.648,-0.648,0.105,1.0,1.0,37.941
339,31.0,31.648,-0.648,0.104,1.0,1.0,37.961
340,31.0,31.648,-0.648,0.104,1.0,1.0,37.981
341,31.0,31.451,-0.451,0.107,1.0,1.0,38.001
342,31.0,31.648,-0.648,0.103,1.0,1.0,38.021
343,31.0,31.648,-0.648,0.102,1.0,1.0,38.041
344,31.0,31.648,-0.648,0.101,1.0,1.0,38.061
345,31.0,31.648,-0.648,0.1,1.0,1.0,38.081
346,31.0,31.648,-0.648,0.1,1.0,1.0,38.101
347,31.0,31.319,-0.319,0.105,1.0,1.0,38.121
348,31.0,31.648,-0.648,0.1,1.0,1.0,38.141
349,31.0,31.648,-0.648,0.098,1.0,1.0,38.161
350,31.0,31.582,-0.582,0.098,1.0,1.0,38.181
351,31.0,32.11,-1.11,0.091,1.0,1.0,38.201
352,31.0,31.648,-0.648,0.093,1.0,1.0,38.221
353,31.0,31.648,-0.648,0.095,1.0,1.0,38.241
354,31.0,31.582,-0.582,0.095,1.0,1.0,38.261
355,31.0,31.648,-0.648,0.094,1.0,1.0,38.281
356,31.0,31.648,-0.648,0.093,1.0,1.0,38.301
357,31.0,31.648,-0.648,0.092,1.0,1.0,38.321
358,31.0,31.516,-0.516,0.093,1.0,1.0,38.341
359,31.0,31.582,-0.582,0.092,1.0,1.0,38.361
360,31.0,30.989,0.011,0.104,1.0,1.0,38.381
361,31.0,31.582,-0.582,0.094,1.0,1.0,38.401
362,40.99,31.648,9.342,0.296,1.0,1.0,38.421
363,40.99,31.648,9.342,0.31,1.0,1.0,38.441
364,40.99,31.648,9.342,0.321,1.0,1.0,38.461
365,40.99,31.714,9.276,0.325,1.0,1.0,38.481
366,40.99,31.582,9.408,0.351,1.0,1.0,38.501
367,40.99,31.648,9.342,0.347,1.0,1.0,38.521
368,40.99,31.648,9.342,0.362,1.0,1.0,38.541
369,40.99,31.714,9.276,0.366,1.0,1.0,38.561
370,40.99,31.714,9.276,0.381,1.0,1.0,38.581
371,40.99,31.714,9.276,0.391,1.0,1.0,38.601
372,40.99,31.714,9.276,0.401,1.0,1.0,38.621
373,40.99,31.846,9.144,0.4,1.0,1.0,38.641
374,40.99,32.044,8.946,0.402,1.0,1.0,38.661
375,40.99,32.11,8.88,0.419,1.0,1.0,38.681
376,40.99,32.11,8.88,0.433,1.0,1.0,38.701
377,40.99,32.11,8.88,0.443,1.0,1.0,38.721
378,40.99,32.374,8.616,0.431,1.0,1.0,38.741
379,40.99,32.637,8.353,0.435,1.0,1.0,38.761
380,40.99,33.626,7.364,0.388,1.0,1.0,38.781
381,40.99,33.824,7.166,0.433,1.0,1.0,38.801
382,40.99,34.286,6.704,0.419,1.0,1.0,38.821
383,40.99,34.484,6.506,0.435,1.0,1.0,38.841
384,40.99,35.011,5.979,0.418,1.0,1.0,38.861
385,40.99,35.802,5.188,0.401,1.0,1.0,38.881
386,40.99,36.132,4.858,0.418,1.0,1.0,38.901
387,40.99,36.462,4.528,0.417,1.0,1.0,38.921
388,40.99,36.791,4.199,0.416,1.0,1.0,38.941
389,40.99,36.989,4.001,0.42,1.0,1.0,38.961
390,40.99,37.451,3.539,0.409,1.0,1.0,38.981
391,40.99,37.846,3.144,0.407,1.0,1.0,39.001
392,40.99,37.978,3.012,0.414,1.0,1.0,39.021
393,40.99,38.703,2.287,0.393,1.0,1.0,39.041
394,40.99,39.099,1.891,0.394,1.0,1.0,39.061
395,40.99,39.956,1.034,0.377,1.0,1.0,39.081
396,40.99,40.22,0.77,0.377,1.0,1.0,39.101
397,40.99,40.286,0.704,0.378,1.0,1.0,39.121
398,40.99,40.681,0.309,0.369,1.0,1.0,39.141
399,40.99,40.945,0.045,0.365,1.0,1.0,39.161
400,40.99,41.011,-0.021,0.364,1.0,1.0,39.181
401,40.99,41.077,-0.087,0.362,1.0,1.0,39.201
